Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,Electrical,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscVal,SaleCondition,HasLotFrontage,HasBasement,ExterCond.n,ExterQual.n,HeatingQC.n,KitchenQual.n,BsmtCond.n,FireplaceQu.n,GarageQual.n,GarageCond.n,Functional.n,BsmtFinType1.n,BsmtFinType2.n,PavedDrive.n,Utilities.n,LotShape.n,BsmtExposure.n,PoolQC.n,GarageFinish.n,BsmtHeight,SalePriceLog,YrMoSold
25,20,RL,-1.72562055202678,-0.243748484103335,Pave,NONE,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,Plywood,Plywood,None,-0.567015949674981,CBlock,188,668,204,1060,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.871128261372955,1,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.217157067211403,-0.940666989058567,2.46860107412418,0.62922919738348,-0.359600750132276,-0.103330530851366,-0.285935458023539,MnPrv,-0.0895919598967582,Normal,-2.23744784062252,1,3,2,4,3,3,3,3,3,7,3,5,2,3,2,2,0,1,-0.250997476711292,11.9447078813958,201008
26,20,RL,1.56032546329918,0.515098737259079,Pave,NONE,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,VinylSd,VinylSd,Stone,3.01192320581049,PConc,0,0,1566,1566,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.196140597003089,0,0,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Attchd,0.303899047668925,1.93637968428653,-0.740760408320604,0.126002010983267,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,4,3,3,7,1,1,2,3,3,1,0,2,0.297607266471232,12.4541039123522,200910
27,20,RL,0.0667136381510165,-0.376394572596832,Pave,NONE,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,Wd Sdng,Wd Sdng,None,-0.567015949674981,CBlock,234,486,180,900,GasA,0.268289832918241,SBrkr,-0.785025043886639,-1.18735607126215,0,1,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.925062116656053,-0.924311211315714,Detchd,0.299450740978796,0.479294756173045,1.01411212641521,-0.229217179416884,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,2,3,3,0,3,3,7,4,3,2,3,3,2,0,1,-0.250997476711292,11.8115474774603,201008
28,20,RL,1.20185862526362,0.166110175562996,Pave,NONE,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,VinylSd,VinylSd,Stone,0.551402536414229,PConc,1218,0,486,1704,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.401688673431068,1,0,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Attchd,0.30612320101399,1.38881273677891,-0.740760408320604,0.0371972133832291,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,4,3,3,7,6,1,2,3,3,1,0,2,1.66911912442754,12.6313403809345,201008
29,20,RL,-0.321625436387506,0.780264101541968,Pave,NONE,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,MetalSd,MetalSd,None,-0.567015949674981,CBlock,1277,0,207,1484,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.196140597003089,1,0,-1.02736282330994,-0.756321032880405,-1.04580127322219,-0.207698474525451,-0.287758288825272,2.17157453260921,Attchd,0.192691380415692,-0.7132874939071,1.53583098809343,3.11576353018453,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,2,2,3,4,3,3,7,4,1,2,3,2,4,0,2,-0.250997476711292,12.2428866186529,200604
30,30,RM,0.0667136381510165,-0.487482501392533,Pave,NONE,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,MetalSd,MetalSd,None,-0.567015949674981,BrkTil,0,0,520,520,GasA,-3.72731232161413,SBrkr,-0.785025043886639,-1.938397119749,0,0,-1.02736282330994,-0.756321032880405,-2.26152963504441,-0.207698474525451,-1.56236594448683,-0.924311211315714,Detchd,0.110397706648299,-1.07987892486559,-0.353423677680716,-0.702842766617084,0.994838163286417,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,1,1,3,0,2,3,7,1,1,2,3,2,1,0,1,-0.250997476711292,11.1345890242503,200808
31,70,C (all),-0.232008726878616,-0.211538057260746,Pave,Pave,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,BrkFace,BrkFace,None,-0.567015949674981,BrkTil,0,0,649,649,GasA,-3.72731232161413,SBrkr,0.773435846683274,-0.36318734173843,0,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.287758288825272,-0.924311211315714,Detchd,0.110397706648299,-1.03347494626325,-0.740760408320604,0.0964004117832542,2.31814054995985,-0.103330530851366,-0.285935458023539,MnPrv,-0.0895919598967582,Normal,0.44693779307133,1,1,2,2,2,3,0,3,2,7,1,1,0,3,3,1,0,1,-0.250997476711292,10.5966347330961,200810
32,20,RL,-1.72562055202678,-0.20595829828014,Pave,NONE,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,HdBoard,HdBoard,None,-0.567015949674981,CBlock,0,0,1228,1228,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.539089060989297,0,0,-1.02736282330994,1.23259887250509,0.169927088600022,-0.207698474525451,-0.287758288825272,-0.924311211315714,Attchd,0.212708760521274,-0.936026591198333,-0.740760408320604,0.259209207383323,-0.359600750132276,-0.103330530851366,-0.285935458023539,MnPrv,-0.0895919598967582,Normal,-2.23744784062252,1,2,2,3,3,3,0,3,3,7,1,1,2,3,2,1,0,1,-0.250997476711292,11.9140478236443,200809
33,20,RL,0.813519550725098,0.111707525502087,Pave,NONE,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,VinylSd,VinylSd,None,-0.567015949674981,PConc,0,0,1234,1234,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.527230518118452,0,0,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,-0.924311211315714,Attchd,0.303899047668925,0.0523781530315144,-0.740760408320604,-0.258818778616896,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,0,3,3,7,1,1,2,3,3,3,0,2,1.66911912442754,12.1001564199386,200801
34,20,RL,0.365436003180649,0.0486816115620604,Pave,NONE,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,BrkFace,BrkFace,None,-0.567015949674981,CBlock,1018,0,380,1398,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.393782978183838,0,1,-1.02736282330994,1.23259887250509,1.38565545042224,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.197139687105821,-0.119316567797145,-0.740760408320604,-0.140412381816846,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,3,3,3,4,3,3,7,3,1,2,3,2,1,0,2,-0.250997476711292,12.0167264737993,201007
35,120,RL,0.0667136381510165,-0.362064737033003,Pave,NONE,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,MetalSd,MetalSd,BrkFace,0.808638788214747,PConc,1153,0,408,1561,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.119060068342597,1,0,0.781365814350925,-0.756321032880405,-1.04580127322219,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.299450740978796,0.386486798968364,0.863920332901789,-0.00720518541678964,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,4,4,4,3,4,3,3,7,6,1,2,3,3,1,0,3,1.66911912442754,12.5335762121686,200711
36,60,RL,1.50058099029325,0.412126821526078,Pave,NONE,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,VinylSd,VinylSd,Stone,0.171140251143897,PConc,0,0,1117,1117,GasA,0.268289832918241,SBrkr,2.29456833268864,1.88005368466307,0,0,2.59009445201179,1.23259887250509,1.38565545042224,-0.207698474525451,1.62415319466707,0.623631660646747,BuiltIn,0.297226587633731,1.01294051009996,0.152485521522403,-0.229217179416884,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,4,3,3,7,1,1,2,3,3,3,0,3,1.66911912442754,12.6410965558799,200612
